   ;ACM ;ACP ;AFC ;AFM ;Classification
variable;144;204;32;171;86
individu;141;117;5;79;126
groupe;8;8;0;242;32
analyse;53;24;79;47;13
axe;41;89;58;15;6
classes;5;1;0;1;202
point;28;37;63;51;29
modalité;163;7;21;8;8
inertie;45;14;63;30;45
dimension;39;66;11;56;18
tableau;59;27;43;48;9
nuage;47;64;49;7;0
représentation;35;34;33;31;16
données;14;46;21;32;20
valeur;21;21;23;36;26
ligne;16;10;78;11;4
colonne;20;10;78;3;3
premier;26;18;14;37;18
graphe;35;19;11;43;3
distance;27;14;19;3;44
profil;11;0;87;0;0
qualitative;24;10;12;22;19
moyen;13;7;35;18;12
calcul;25;12;16;12;19
construire;15;15;11;8;35
factoriel;25;1;12;24;20
correspondances;24;0;55;1;1
coordonnées;19;17;25;14;4
projection;9;42;16;9;0
somme;22;15;20;12;7
centre;9;16;10;7;32
liaisons;15;16;31;12;0
nombre;18;3;17;7;26
carré;28;13;9;16;4
plan;12;31;13;2;9
ensemble;19;17;13;13;4
utiliser;16;8;8;11;23
information;3;16;1;35;10
proche;2;21;4;13;25
corrélation;23;30;0;11;0
différence;8;21;10;14;7
quantitative;13;9;0;19;19
classification;1;0;0;0;58
maintenant;12;13;12;8;14
visualiser;7;34;5;4;6
interprétation;21;12;11;11;0
probabilité;3;0;43;1;8
arbre;0;0;0;0;54
hiérarchique;0;0;0;0;54
espace;8;27;10;7;1
trouver;11;14;11;10;7
principale;12;9;5;23;3
égal;17;4;20;3;7
partition;0;1;1;0;49
contribution;7;11;22;9;0
méthode;8;4;5;9;23
ressemblance;5;18;1;8;17
grande;9;11;10;6;12
propre;8;0;16;24;0
variabilité;16;12;0;6;13
interprète;15;18;4;6;3
étude;8;20;11;6;0
supplémentaire;21;8;2;13;1
composante;6;6;6;19;5
lié;13;9;0;13;7
coefficient;6;14;1;20;0
écart;1;10;25;1;4
totale;7;0;13;10;11
caractérisation;4;5;2;0;29
mesure;1;7;7;14;11
partiel;0;0;0;40;0
indépendance;1;4;34;0;0
rapport;18;2;12;4;3
regroupe;1;3;5;0;30
actif;23;4;0;5;5
poids;17;4;7;7;2
comparer;2;1;14;16;3
décrire;7;5;5;15;4
partir;10;3;4;13;6
pondéré;3;0;3;29;1
association;11;1;15;6;2
particulier;10;5;8;5;7
pourcentage;7;12;15;0;1
question;7;2;9;11;6
réduction;1;23;1;6;4
commun;6;1;3;18;6
multiple;21;0;1;11;1
plusieurs;1;7;2;20;4
qualité;2;8;12;7;5
suivante;9;2;12;5;6
barycentre;13;2;12;5;1
global;1;3;1;24;3
gravité;4;1;10;0;15
effet;6;2;4;7;10
équilibre;0;0;0;29;0
fonction;9;3;2;10;5
termes;7;0;18;1;3
angle;0;25;1;1;0
critère;0;1;1;7;18
séparer;10;2;2;7;6
barres;1;1;3;0;21
divisant;4;5;7;9;1
effectif;4;0;18;3;1
résultat;8;4;8;5;1
test;4;3;5;3;11
aides;6;9;4;6;0
autres;4;5;2;10;4
constitué;3;0;6;4;12
cours;2;4;3;14;2
inter;0;0;0;3;22
appliquer;2;4;1;15;2
élément;5;0;15;2;2
complet;20;1;0;1;1
faible;7;7;4;1;4
forte;5;10;4;4;0
origine;12;2;9;0;0
relation;10;0;7;6;0
type;4;10;0;5;4
forme;2;17;1;1;1
cosinus;0;17;2;2;0
disjonctif;20;0;0;1;0
général;10;0;6;0;5
idée;6;6;2;2;5
propriété;10;0;11;0;0
contingence;3;0;9;8;0
structure;3;0;3;14;0
facteur;8;8;1;2;0
indicateur;5;3;9;1;1
variance;5;7;0;3;4
activités;17;1;0;0;0
apportée;0;3;0;14;1
correspondant;5;1;6;6;0
lg;0;0;0;18;0
marginale;0;0;18;0;0
problématique;8;4;0;6;0
signifie;0;8;6;2;2
uniquement;4;8;2;3;1
utile;2;6;0;7;3
contenu;2;7;1;4;3
droite;7;4;1;2;3
matrice;2;2;0;3;10
notre;1;4;7;4;1
résumer;1;12;1;2;1
simultanée;4;1;9;3;0
exactement;6;2;5;2;1
expliquer;4;10;0;1;1
intérieur;0;1;2;6;7
maximum;2;0;10;4;0
moins;1;7;1;2;5
oppose;10;2;3;1;0
orthogonal;3;8;3;2;0
racine;4;2;4;4;2
savoir;1;5;2;4;4
spécificité;2;1;0;12;1
autrement;3;4;2;5;1
extrême;2;6;2;0;5
montre;7;2;1;1;4
multiplié;5;2;7;0;1
objectif;2;4;1;4;4
rare;15;0;0;0;0
signalétique;14;0;0;1;0
synthétique;5;6;1;2;1
algorithme;0;0;0;0;14
ascendante;0;0;0;0;14
compte;5;0;2;5;2
enquête;5;1;4;2;2
examinons;2;0;10;0;2
flèche;0;14;0;0;0
gauche;8;2;0;2;2
hasard;0;0;0;0;14
indicateurs;0;5;3;6;0
influence;2;0;0;12;0
intra;1;0;0;3;10
maximise;2;5;1;4;2
nombreux;1;5;1;4;3
position;6;1;3;4;0
pris;7;2;1;2;2
simple;3;6;0;3;2
souvent;3;3;0;6;2
étape;0;1;0;2;10
exemples;0;1;3;8;1
finalement;4;4;2;0;3
meilleur;1;9;1;0;2
modèle;1;1;9;1;1
multidimensionnel;2;3;3;5;0
nécessaire;3;2;1;0;7
bonne;0;7;1;1;3
chacun;1;0;2;8;1
cherche;1;5;2;1;3
distribution;0;0;12;0;0
image;0;12;0;0;0
inférieur;4;3;4;0;1
intensité;1;0;11;0;0
long;1;0;9;0;2
means;0;0;0;0;12
nulle;2;0;5;3;2
optimale;8;1;0;0;3
possédant;9;0;2;0;1
près;4;4;1;1;2
proportion;8;1;1;0;2
